台州,2012-1-1,晴,10℃～-2℃,东北风3-4级
台州,2012-1-2,晴,11℃,东北风4-5级
台州,2012-1-3,阴,10℃～3℃,东北风3-4级/东北风4-5级
台州,2012-1-4,多云,8℃～2℃,东北风4-5级
台州,2012-1-5,雨夹雪转小雨,7℃～3℃,东北风4～5级
台州,2012-1-6,小雨,8℃～3℃,东北风3～4级
台州,2012-1-7,小雨转阴,9℃～5℃,东北风3～4级
台州,2012-1-8,阴,10℃～6℃,东北风3～4级
台州,2012-1-9,阴,11℃～6℃,东北风3～4级
台州,2012-1-10,阴转小雨,6℃～3℃,东北风3～4级
台州,2012-1-11,小雨,6℃～3℃,东北风4～5级
台州,2012-1-14,中雨,10℃～6℃,东北风3-4级
台州,2012-1-15,小雨,8℃～5℃,东北风4-5级
台州,2012-1-16,小雨转阴,10℃～5℃,东北风4-5级/东北风3-4级
台州,2012-1-17,多云转阴,10℃～7℃,东北风3-4级
台州,2012-1-18,小雨,12℃～8℃,东北风3-4级
台州,2012-1-19,小雨转小到中雨,12℃～6℃,东北风3-4级/东北风4-5级
台州,2012-1-20,小雨,9℃～4℃,东北风3-4级
台州,2012-1-21,小雨转雨夹雪,7℃～0℃,东北风4-5级
台州,2012-1-22,中雪转中到大雪,3℃～-1℃,东北风4-5级
台州,2012-1-23,小雪转阴,2℃～-1℃,东北风5-6级
台州,2012-1-24,中雪转小雪,2℃～-2℃,东北风4-5级/东北风3-4级
台州,2012-1-25,阴转多云,3℃～-2℃,东北风3-4级
台州,2012-1-26,多云,3℃～-2℃,东北风3-4级
台州,2012-1-27,阴,3℃,东北风3-4级
台州,2012-1-28,小雨,6℃,东北风3-4级
台州,2012-1-29,小雨,8℃～3℃,东北风4-5级
台州,2012-1-30,小雨转阴,5℃～2℃,东北风4-5级
台州,2012-1-31,多云,4℃～0℃,东北风3-4级
台州,2012-2-1,晴转多云,11℃～2℃,东北风4-5级
台州,2012-2-2,多云转阴,10℃～3℃,东北风4-5级/东北风3-4级
台州,2012-2-3,多云,9℃～6℃,东北风3-4级/东风3-4级
台州,2012-2-4,小雨,9℃～5℃,东北风3-4级/东风3-4级
台州,2012-2-5,多云转小雨,12℃～6℃,东南风3-4级/南风3-4级
台州,2012-2-6,中雨,11℃～3℃,南风3-4级/南风4-5级
台州,2012-2-7,小雨转多云,6℃～0℃,东北风4-5级
台州,2012-2-8,多云,-1℃,东北风4-5级
台州,2012-2-9,多云转小雨,8℃～2℃,东北风3-4级
台州,2012-2-10,小雨,5℃～3℃,东北风3-4级
台州,2012-2-11,小雨,8℃～6℃,东北风3-4级
台州,2012-2-12,阴,8℃,东南风3-4级
台州,2012-2-13,多云转阴,16℃～8℃,南风3-4级
台州,2012-2-14,多云转小雨,17℃～3℃,南风4-5级/东北风4-5级
台州,2012-2-15,小到中雨转小雨,8℃～1℃,东北风5-6级
台州,2012-2-16,小雨转阴,4℃～-1℃,东北风4-5级
台州,2012-2-17,多云,5℃～1℃,东北风4-5级/东北风3-4级
台州,2012-2-18,多云,9℃～2℃,东北风3-4级
台州,2012-2-19,多云,11℃,东北风3-4级
台州,2012-2-20,阴,7℃,东南风3-4级
台州,2012-2-21,阴,15℃～9℃,东南风3-4级
台州,2012-2-22,小雨,17℃～10℃,东南风3-4级
台州,2012-2-23,小到中雨,15℃～6℃,东南风3-4级/东北风4-5级
台州,2012-2-24,小雨转阴,7℃～4℃,东北风4～5级
台州,2012-2-25,阴转小雨,6℃～4℃,东北风4～5级
台州,2012-2-26,小雨,6℃～3℃,东北风4～5级
